src,dst,relationship
1770,1228,friend
1405,541,friend
309,904,friend
1,751,follow
968,540,follow
1840,469,follow
4,1022,follow
498,1557,follow
1267,607,friend
1277,1295,follow
1738,192,friend
406,1968,follow
308,1433,friend
1942,1990,friend
740,1090,follow
1954,756,friend
925,89,follow
488,88,friend
1088,1773,follow
1360,17,friend
1914,1357,follow
1852,479,friend
458,1377,friend
47,345,friend
1523,1701,follow
52,689,follow
114,1567,friend
1867,1511,friend
1268,428,friend
1323,889,follow
700,910,friend
201,31,follow
1426,1768,friend
786,684,friend
1140,1182,follow
1174,766,follow
541,99,follow
197,289,friend
319,1972,friend
699,1439,follow
601,904,follow
1048,1593,friend
1879,1521,friend
1478,1177,friend
74,1387,follow
17,853,follow
1667,1830,friend
1939,74,friend
1228,248,follow
920,95,follow
607,1850,friend
1381,1244,follow
1761,711,friend
1314,22,friend
944,1243,friend
514,1659,friend
1754,294,follow
11,1038,friend
386,161,follow
792,849,follow
787,505,friend
1633,1465,friend
1914,1707,follow
664,1603,follow
1135,1188,friend
1622,1306,friend
1283,1840,follow
1429,911,follow
1007,1942,follow
601,1254,follow
372,1202,friend
470,1737,follow
1249,1475,follow
1337,1322,follow
1239,787,friend
833,99,follow
1736,1593,friend
373,1804,friend
645,48,friend
736,166,friend
219,1337,follow
116,458,follow
1050,1265,friend
217,1264,follow
1060,1953,follow
1495,1881,friend
1865,660,friend
29,1213,follow
958,1676,follow
860,1141,follow
932,455,friend
1737,1414,follow
992,1260,friend
271,746,friend
18,1054,friend
1640,1481,follow
802,1136,follow
859,1670,follow
1731,1599,follow
1726,1255,follow
1612,187,friend
208,397,follow
234,1618,follow
1445,1013,friend
1101,1203,follow
1424,136,friend
574,1686,follow
942,392,follow
952,1080,follow
1480,1199,friend
1721,130,follow
425,1563,follow
912,1681,follow
506,993,friend
798,613,friend
323,1286,follow
261,408,friend
605,218,follow
722,1557,follow
190,1696,friend
133,1162,follow
1136,608,friend
128,818,friend
594,59,friend
1065,1896,follow
1497,1553,friend
1378,141,friend
1927,1137,friend
101,126,friend
1286,552,friend
1150,691,follow
1057,500,follow
307,2,follow
1642,1153,friend
1246,1153,follow
225,1101,follow
1395,495,follow
1056,1029,friend
32,706,follow
534,1856,friend
1298,562,friend
1334,219,friend
995,753,follow
1826,681,follow
427,1235,friend
272,166,friend
1399,1368,follow
26,891,friend
180,577,follow
216,234,friend
1114,1384,follow
1145,697,follow
1580,625,friend
1143,624,follow
1022,1795,follow
1299,383,friend
48,1589,friend
1892,1651,friend
478,1173,follow
416,295,friend
483,1517,follow
923,1789,friend
954,1102,friend
572,54,friend
1016,1980,follow
350,1927,friend
267,172,friend
1217,1512,friend
1659,1857,friend
1098,100,follow
1103,444,follow
38,120,friend
1029,1461,friend
623,773,follow
581,1271,follow
1636,907,follow
1813,1543,follow
1032,1732,friend
135,1184,follow
376,115,friend
42,993,follow
904,234,follow
909,578,follow
444,1939,friend
1275,1867,friend
1223,1677,follow
1161,799,follow
776,988,follow
1643,573,friend
1689,918,follow
1658,1605,follow
1252,917,follow
624,594,follow
1054,178,follow
527,661,friend
587,1466,friend
1813,1893,follow
1464,1739,follow
280,3,follow
1894,1323,friend
834,1343,follow
932,1878,friend
1670,1615,follow
1367,1806,follow
1081,1220,friend
1110,460,follow
979,943,friend
583,943,friend
1424,1559,friend
1018,871,friend
982,1214,follow
1758,681,friend
1880,112,friend
773,286,follow
1697,405,follow
520,594,friend
1855,1745,friend
1132,1158,follow
1163,471,follow
1507,281,follow
1259,933,friend
1441,1913,follow
1907,1154,follow
66,1363,friend
164,1898,follow
1912,1498,follow
475,70,follow
1696,153,friend
297,707,follow
445,1359,follow
1723,1976,friend
885,1631,follow
195,430,follow
749,1770,follow
682,548,friend
229,14,follow
163,1646,follow
1426,1231,friend
1025,887,follow
1400,10,follow
22,1441,follow
1673,1108,friend
1272,764,friend
1774,1914,friend
1702,348,follow
642,368,follow
1858,107,friend
1276,1637,friend
641,897,follow
584,363,follow
651,1585,friend
991,1653,follow
1328,1046,follow
22,1791,follow
366,1601,follow
1703,169,follow
1283,1303,friend
264,1324,follow
197,102,follow
202,446,follow
1105,1940,friend
699,1252,follow
293,564,follow
267,1595,follow
1879,1334,follow
1576,1525,friend
1139,1524,follow
637,374,follow
1884,1678,follow
1574,1452,follow
160,974,friend
545,785,follow
1944,231,friend
1443,1935,friend
1438,1591,friend
1157,1349,friend
448,852,friend
1227,590,friend
167,610,follow
1729,1740,follow
654,728,friend
1151,1534,friend
1130,657,friend
786,847,follow
1032,122,friend
619,1673,friend
223,1673,follow
510,949,friend
1935,377,follow
804,672,friend
33,1549,follow
843,600,friend
1868,1525,friend
1019,1765,friend
556,543,friend
1332,10,friend
1886,1350,follow
1141,1196,follow
1860,129,follow
1485,1006,follow
516,1144,follow
1768,540,follow
1331,539,follow
1833,1689,friend
701,143,follow
1234,606,friend
117,92,friend
208,210,follow
1106,1360,friend
767,1894,friend
736,329,friend
1567,257,friend
569,1155,friend
460,431,friend
1911,67,follow
665,1617,friend
942,205,friend
480,1837,friend
516,1494,friend
1199,770,follow
1748,1766,follow
1230,83,friend
287,1442,friend
225,564,follow
323,1099,follow
1216,1905,friend
230,908,follow
1630,956,follow
231,1510,friend
1198,1299,follow
1401,904,follow
1000,560,follow
1497,1366,follow
1440,832,friend
1039,488,follow
31,698,friend
1927,950,friend
1101,1366,follow
127,1160,friend
507,627,follow
963,1432,follow
1004,1433,follow
283,919,follow
999,1089,friend
1840,1705,friend
1778,827,friend
1348,1243,follow
754,504,follow
273,231,friend
1590,776,follow
1246,966,follow
186,986,friend
1738,1428,friend
585,1257,follow
631,1602,friend
277,1104,friend
1118,1720,follow
1589,1305,friend
529,1325,follow
954,565,friend
1826,494,follow
761,170,follow
714,324,friend
1430,494,follow
872,1664,follow
523,1510,friend
1698,1248,follow
1307,1592,friend
1646,1058,friend
765,1043,friend
1169,1658,follow
546,1679,friend
1539,437,follow
135,647,friend
150,1679,friend
88,801,follow
513,41,follow
1509,1726,follow
1853,1536,friend
387,868,friend
330,334,friend
447,1673,friend
1918,433,friend
421,452,friend
863,797,friend
1252,380,friend
